config,layer,direction,n,mean_delta,median_delta,std_delta,wilcoxon_stat,wilcoxon_p,t_stat,t_p,significant,effect_sign
H→T3 (human→vertebrate),0,reverse,20,-0.001900737814924547,-0.0019481605497730925,0.0008476442472694384,0.0,8.807368035275506e-05,-10.02821401848011,5.029406157556927e-09,True,-
H→T3 (human→vertebrate),4,forward,20,-0.0003604673482186627,-0.0004858133688685484,0.0009086780865041144,63.0,0.11676011936670211,-1.7740705014401552,0.09207877896666038,False,-
H→T3 (human→vertebrate),4,reverse,20,-0.0009455284602154279,-0.0005231117829680443,0.0012083829929129813,32.0,0.006406137863481518,-3.4993307984344595,0.002398987068455854,True,-
H→T3 (human→vertebrate),5,forward,20,-0.00010634147729433607,-0.00021627261230605654,0.0008271073632437847,81.0,0.3700944683002695,-0.5749840531592505,0.57204868629704,False,-
H→T3 (human→vertebrate),5,reverse,20,-0.0010442329941724893,-0.000768765399698168,0.0011032022385075119,17.0,0.0010146951153109983,-4.233087783572203,0.0004500381454949006,True,-
H→T3 (human→vertebrate),7,forward,20,-0.0001321386293057003,-0.0001738372229738161,0.0008621357786841288,84.0,0.43288793401334236,-0.6854394977834392,0.5013447968041005,False,-
H→T3 (human→vertebrate),7,reverse,20,-0.0009226324200426461,-0.0005255563373793848,0.0011039544047997734,24.0,0.002486327719973165,-3.737597858191761,0.0013948854971987269,True,-
H→T3 (human→vertebrate),11,forward,20,-0.00020423838741407964,-0.0001260656281374395,0.000737408290521433,71.0,0.20417253180466222,-1.23863787197154,0.23056490417089073,False,-
H→T3 (human→vertebrate),11,reverse,20,-0.0005114054969453718,-0.00023726742074359208,0.0008901542057828843,39.0,0.013708394561390709,-2.569301920516523,0.01877349984040404,True,-
H→H  (within-tier ctrl),0,forward,20,-0.0012167791194928057,-0.0011865719002912556,0.0005038784491333644,0.0,8.807368035275506e-05,-10.799433194524749,1.5036963410698954e-09,True,-
H→H  (within-tier ctrl),0,reverse,20,-0.0008077592544347035,-0.0025351812013241215,0.0037010827357819493,90.0,0.5753530764008792,-0.976041191896748,0.34130834357343454,False,-
H→H  (within-tier ctrl),4,forward,20,0.0006843956261946005,0.0003273221336712595,0.0008410163171363146,26.0,0.0031745619377953724,3.639299529610952,0.0017451461760395256,True,+
H→H  (within-tier ctrl),4,reverse,20,4.8412324446189814e-05,-0.0003133125704266604,0.0019441219818193717,97.0,0.7651189955273551,0.11136466684991486,0.9124952197346544,False,+
H→H  (within-tier ctrl),5,forward,20,0.0008910151256714017,0.0005956405948381871,0.0011068730596281134,24.0,0.002486327719973165,3.599997981071412,0.0019084556278276775,True,+
H→H  (within-tier ctrl),5,reverse,20,0.0005955755787169891,0.00036271764025741504,0.0018811586441885297,73.0,0.23206284673343192,1.4158800310267685,0.17299533201005396,False,+
H→H  (within-tier ctrl),7,forward,20,0.0009590637497240096,0.0007713625527685508,0.0011269155954434147,15.0,0.0007762945483523207,3.8060201630183452,0.0011932627000495863,True,+
H→H  (within-tier ctrl),7,reverse,20,0.0007982433147333268,0.0007040623095235787,0.0017030915400156055,57.0,0.07303805072825319,2.0961014395175996,0.049696495181305714,False,+
H→H  (within-tier ctrl),11,forward,20,0.0004517447690886911,0.0004581299581332132,0.0007063573866453526,42.0,0.018633749462933773,2.860115944874872,0.010017945602550262,True,+
H→H  (within-tier ctrl),11,reverse,20,0.0008640219736491872,0.0009908873689710163,0.0014708398241676966,36.0,0.009970456723708224,2.627086696168811,0.016596163185727812,True,+
T6→T6 (null control),0,forward,15,0.00221925448975,0.0011786520033076897,0.002325573164016122,1.0,0.0007993970664588131,3.695921423927389,0.002396596516003173,True,+
T6→T6 (null control),0,reverse,15,0.0002955418371319259,0.00025335813052151934,0.0003755964184261191,18.0,0.016991860052233423,3.0474960813414826,0.00869288313730382,True,+
T6→T6 (null control),4,forward,15,0.0003140215269468172,0.00018027692749456037,0.0004471809633047054,14.0,0.00894350715784605,2.7197046475946203,0.016603094891487633,True,+
T6→T6 (null control),4,reverse,15,-0.0005267667375846941,-0.00031086616877473716,0.0008271134809156311,14.0,0.00894350715784605,-2.4666008341963384,0.027161688868916112,True,-
T6→T6 (null control),5,forward,15,0.00020000227987869342,6.98700666816876e-05,0.00026936742011714155,14.0,0.00894350715784605,2.8756465753610314,0.01221576632288891,True,+
T6→T6 (null control),5,reverse,15,-0.0002372412218695293,-0.0002549219436787098,0.000383238505080153,23.0,0.03548929194368551,-2.397544320715935,0.03101443879971643,True,-
T6→T6 (null control),7,forward,15,0.00010572268368681155,3.8069374568294734e-06,0.0002591556080570796,40.0,0.2557007960840325,1.579985848290772,0.1364325079251966,False,+
T6→T6 (null control),7,reverse,15,-0.00024640245151204,-0.0002588857432783698,0.0003167952852331701,18.0,0.016991860052233423,-3.0123951828020767,0.00931967255464236,True,-
T6→T6 (null control),11,forward,15,-0.00013333280362530785,-0.00010368048060627189,0.00018446208140666107,20.0,0.02301276385509717,-2.799468183412322,0.014195172875066712,True,-
T6→T6 (null control),11,reverse,15,-0.00014762180906776243,-0.00018577325636215392,0.00016197961873763985,14.0,0.00894350715784605,-3.529683626324021,0.0033327343216878855,True,-
