entity,tier,tier_rank,prompt_id,group,welfare_neg_mean,welfare_pos_mean,neutral_mean,salience_index,suffering_bias
gecko,T3,3,P08,neutral_baseline,,,0.002462262290646322,,
horse,T2,2,P01,appearance_state,0.0032726855424698442,0.004240642621880397,,-0.000967957079410553,0.4355839951780503
horse,T2,2,P02,researcher_observation,0.000702765469516938,0.0014120087726041675,0.013923944905400276,-0.0007092433030872295,0.3323122734750359
horse,T2,2,P03,moral_framing,0.0029169369178513684,,0.0032376944242666164,,
horse,T2,2,P04,care_intervention,0.041717967949807644,,0.00851856148801744,,
horse,T2,2,P05,emotional_attribution,0.005561846531539534,0.00596846966072917,0.006743901176378131,-0.0004066231291896356,0.4823672127076738
horse,T2,2,P06,policy_framing,0.007566513027995825,,0.0020033513428643346,,
horse,T2,2,P07,consciousness_probe,0.0039584330734214745,,0.014773054751761569,,
horse,T2,2,P08,neutral_baseline,,,0.002151185745606199,,
infant,T1,1,P01,appearance_state,0.00714126549064531,0.01315858744783327,,-0.00601732195718796,0.3517890241426363
infant,T1,1,P02,researcher_observation,0.0014267391670728102,0.00133860859205015,0.007137417560443282,8.81305750226602e-05,0.5159347900358928
infant,T1,1,P03,moral_framing,0.004949520730103056,,0.004372210009023547,,
infant,T1,1,P04,care_intervention,0.034904435742646456,,0.004731316672405228,,
infant,T1,1,P05,emotional_attribution,0.005650698867005606,0.012580222450196743,0.0013965920952614397,-0.006929523583191137,0.3099513588859922
infant,T1,1,P06,policy_framing,0.01642337099959453,,0.0004518426619597449,,
infant,T1,1,P07,consciousness_probe,0.0018870953463192564,,0.03701709123924957,,
infant,T1,1,P08,neutral_baseline,,,0.002892070246161893,,
lobster,T4,4,P01,appearance_state,0.001776056036760565,0.0027798262308351696,,-0.0010037701940746047,0.38983799261214
lobster,T4,4,P02,researcher_observation,0.0001398244397326683,0.0003303274934296496,0.007913412991911173,-0.0001905030536969813,0.29740260568945476
lobster,T4,4,P03,moral_framing,0.0015639381599612534,,0.004448188468813896,,
lobster,T4,4,P04,care_intervention,0.031585872173309326,,0.02769321110099554,,
lobster,T4,4,P05,emotional_attribution,0.003828794026048854,0.011368119157850742,0.0033373991027474403,-0.007539325131801888,0.25194550725674525
lobster,T4,4,P06,policy_framing,0.0031425878405570984,,0.007257076562382281,,
lobster,T4,4,P07,consciousness_probe,0.000663187380268937,,0.020358158508315682,,
lobster,T4,4,P08,neutral_baseline,,,0.004216232465114445,,
mantis shrimp,T4,4,P01,appearance_state,0.001280962704186095,0.001164677829365246,,0.00011628487482084893,0.5237738883680532
mantis shrimp,T4,4,P02,researcher_observation,5.0296493403341934e-05,9.047324238053989e-05,0.004614220233634114,-4.017674897719795e-05,0.35729595849326756
mantis shrimp,T4,4,P03,moral_framing,0.0013275848080714543,,0.006990067893639207,,
mantis shrimp,T4,4,P04,care_intervention,0.011869444511830807,,0.030595602933317423,,
mantis shrimp,T4,4,P05,emotional_attribution,0.0018241603393107653,0.011537933722138405,0.004323963250499219,-0.00971377338282764,0.1365175486170147
mantis shrimp,T4,4,P06,policy_framing,0.005168790094709645,,0.014555096917320043,,
mantis shrimp,T4,4,P07,consciousness_probe,0.00017576172103872523,,0.003106800839304924,,
mantis shrimp,T4,4,P08,neutral_baseline,,,0.002374539207085036,,
mite,T5,5,P01,appearance_state,0.0015117235452635214,0.002882107102777809,,-0.0013703835575142875,0.34405593477568824
mite,T5,5,P02,researcher_observation,5.638501291590122e-05,0.0007481112916138954,0.006194869638420641,-0.0006917262786979942,0.07008733985437327
mite,T5,5,P03,moral_framing,0.00029174926263901096,,0.0026764475017747222,,
mite,T5,5,P04,care_intervention,0.004104303894564509,,0.04275027196854353,,
mite,T5,5,P05,emotional_attribution,0.004765415835815172,0.012868558056652546,0.003745398862520233,-0.008103142220837373,0.27024060701522523
mite,T5,5,P06,policy_framing,0.014597632999842366,,0.01171934069134295,,
mite,T5,5,P07,consciousness_probe,5.892540139029734e-05,,0.00989119532944945,,
mite,T5,5,P08,neutral_baseline,,,0.002542508125770837,,
moss,T6,6,P01,appearance_state,0.0003101181246165652,0.0017776260756363627,,-0.0014675079510197975,0.148542196752253
moss,T6,6,P02,researcher_observation,1.7801207832235377e-05,0.0004171516525275365,0.0019254325306974351,-0.0003993504446953011,0.04092674255512846
moss,T6,6,P03,moral_framing,0.00024129893427016214,,0.013140590997257581,,
moss,T6,6,P04,care_intervention,0.013473575003445148,,0.007531268522143364,,
