entity,tier,layer,pc1,pc2,method
mite,T5,15,-3.8783442974090576,-10.293594360351562,pca_entity_mean
moss,T6,15,2.8901209831237793,-22.509273529052734,pca_entity_mean
moth,T5,15,8.610918998718262,-6.494515419006348,pca_entity_mean
mushroom,T6,15,8.056365013122559,-14.544013023376465,pca_entity_mean
mussel,T4,15,9.34341812133789,-14.71311092376709,pca_entity_mean
nematode,T5,15,3.688621997833252,-11.539979934692383,pca_entity_mean
oak tree,T6,15,-4.917130947113037,-6.850523471832275,pca_entity_mean
octopus,T4,15,1.9574038982391357,-6.282140254974365,pca_entity_mean
patient,T1,15,-25.676795959472656,9.595588684082031,pca_entity_mean
pig,T2,15,16.682661056518555,28.64116668701172,pca_entity_mean
pigeon,T3,15,14.805115699768066,21.0820255279541,pca_entity_mean
prisoner,T1,15,-23.17574691772461,7.987974643707275,pca_entity_mean
rabbit,T2,15,12.541716575622559,17.829336166381836,pca_entity_mean
rat,T2,15,10.032999992370605,16.42072868347168,pca_entity_mean
refugee,T1,15,-15.716526985168457,-0.9586600661277771,pca_entity_mean
river,T6,15,-9.532194137573242,-7.394091606140137,pca_entity_mean
rock,T6,15,-8.173772811889648,-17.304210662841797,pca_entity_mean
salmon,T3,15,18.186738967895508,-2.9059500694274902,pca_entity_mean
seaweed,T6,15,-1.6526280641555786,-16.265583038330078,pca_entity_mean
shrimp,T4,15,16.84950828552246,-9.324166297912598,pca_entity_mean
snake,T3,15,10.790013313293457,4.699520111083984,pca_entity_mean
soldier,T1,15,-23.06981086730957,5.36101770401001,pca_entity_mean
squid,T4,15,4.687658786773682,-7.699109077453613,pca_entity_mean
statue,T6,15,-15.171945571899414,-5.270415782928467,pca_entity_mean
table,T6,15,-16.669382095336914,-7.662148475646973,pca_entity_mean
teenager,T1,15,-27.563138961791992,6.398691654205322,pca_entity_mean
trout,T3,15,14.505290031433105,-2.5629732608795166,pca_entity_mean
tuna,T3,15,2.0721330642700195,-9.512613296508789,pca_entity_mean
whale,T2,15,8.672834396362305,8.118387222290039,pca_entity_mean
woman,T1,15,-25.438310623168945,6.085880756378174,pca_entity_mean
woodlouse,T5,15,-0.9430713653564453,-9.955123901367188,pca_entity_mean
worker,T1,15,-22.4451847076416,3.251082181930542,pca_entity_mean
zebrafish,T3,15,11.752701759338379,0.7679946422576904,pca_entity_mean
ant,T5,16,1.6366634368896484,-5.048758506774902,pca_entity_mean
aphid,T5,16,-2.8471407890319824,-7.908891677856445,pca_entity_mean
bacterium,T6,16,7.087681293487549,-10.942513465881348,pca_entity_mean
bee,T4,16,-13.040680885314941,2.3670032024383545,pca_entity_mean
beetle,T5,16,-7.7552032470703125,-4.381374359130859,pca_entity_mean
bumblebee,T4,16,-2.4472105503082275,-4.743959426879883,pca_entity_mean
chicken,T3,16,-14.950302124023438,15.769692420959473,pca_entity_mean
child,T1,16,25.627376556396484,10.456494331359863,pca_entity_mean
chimpanzee,T2,16,0.15332423150539398,1.9826382398605347,pca_entity_mean
cloud,T6,16,6.49916934967041,-12.157044410705566,pca_entity_mean
cockroach,T5,16,-5.91404390335083,0.9871624112129211,pca_entity_mean
cow,T2,16,-4.18288516998291,24.837736129760742,pca_entity_mean
crab,T4,16,-20.90319061279297,-4.512192249298096,pca_entity_mean
crayfish,T4,16,-4.753355026245117,-8.143535614013672,pca_entity_mean
crow,T3,16,-6.917006969451904,10.22779369354248,pca_entity_mean
dog,T2,16,4.2845306396484375,23.519062042236328,pca_entity_mean
dolphin,T2,16,1.204555869102478,-0.5322837233543396,pca_entity_mean
earthworm,T5,16,0.72840416431427,-6.998533725738525,pca_entity_mean
elderly person,T1,16,24.5600528717041,-0.19517944753170013,pca_entity_mean
elephant,T2,16,-4.526276111602783,16.292057037353516,pca_entity_mean
fly,T5,16,-11.72028636932373,0.6814574599266052,pca_entity_mean
frog,T3,16,-13.280961990356445,9.09495735168457,pca_entity_mean
gecko,T3,16,-2.571129083633423,-7.884287357330322,pca_entity_mean
horse,T2,16,0.9734666347503662,25.217973709106445,pca_entity_mean
infant,T1,16,22.77998161315918,10.696569442749023,pca_entity_mean
lobster,T4,16,-10.812422752380371,-9.0654935836792,pca_entity_mean
mantis shrimp,T4,16,-5.2888054847717285,-8.991044998168945,pca_entity_mean
mite,T5,16,1.9268724918365479,-10.203763961791992,pca_entity_mean
moss,T6,16,-4.710331439971924,-20.22862434387207,pca_entity_mean
moth,T5,16,-8.792500495910645,-4.877829074859619,pca_entity_mean
mushroom,T6,16,-8.998343467712402,-11.902864456176758,pca_entity_mean
mussel,T4,16,-12.092665672302246,-13.538016319274902,pca_entity_mean
nematode,T5,16,-5.988147258758545,-12.116333961486816,pca_entity_mean
oak tree,T6,16,5.094639778137207,-6.840031623840332,pca_entity_mean
octopus,T4,16,-3.1944661140441895,-5.950406551361084,pca_entity_mean
patient,T1,16,27.793018341064453,5.948496341705322,pca_entity_mean
pig,T2,16,-12.58083438873291,31.121828079223633,pca_entity_mean
pigeon,T3,16,-11.541250228881836,23.80753517150879,pca_entity_mean
prisoner,T1,16,24.116104125976562,5.680628776550293,pca_entity_mean
rabbit,T2,16,-9.02962875366211,19.270511627197266,pca_entity_mean
rat,T2,16,-7.328231334686279,16.868595123291016,pca_entity_mean
refugee,T1,16,14.880623817443848,-1.8636431694030762,pca_entity_mean
river,T6,16,7.650518417358398,-10.25245189666748,pca_entity_mean
rock,T6,16,5.603179454803467,-16.633190155029297,pca_entity_mean
salmon,T3,16,-19.01305389404297,-2.0141096115112305,pca_entity_mean
seaweed,T6,16,-1.2137731313705444,-17.407712936401367,pca_entity_mean
shrimp,T4,16,-19.21358299255371,-8.400330543518066,pca_entity_mean
snake,T3,16,-10.010440826416016,5.710422515869141,pca_entity_mean
soldier,T1,16,23.59775161743164,3.1087307929992676,pca_entity_mean
squid,T4,16,-5.9274678230285645,-6.59355354309082,pca_entity_mean
statue,T6,16,14.317821502685547,-7.262793064117432,pca_entity_mean
table,T6,16,15.629679679870605,-9.854652404785156,pca_entity_mean
teenager,T1,16,28.759126663208008,2.9504854679107666,pca_entity_mean
trout,T3,16,-15.326111793518066,-2.368091583251953,pca_entity_mean
tuna,T3,16,-4.279477596282959,-9.800087928771973,pca_entity_mean
whale,T2,16,-7.6887407302856445,8.189606666564941,pca_entity_mean
woman,T1,16,26.652828216552734,3.3478801250457764,pca_entity_mean
woodlouse,T5,16,-0.6931079626083374,-9.750718116760254,pca_entity_mean
worker,T1,16,21.467180252075195,1.088944673538208,pca_entity_mean
zebrafish,T3,16,-13.491515159606934,0.14003720879554749,pca_entity_mean
ant,T5,17,-1.2828062772750854,-7.346567630767822,pca_entity_mean
aphid,T5,17,-4.995140552520752,-9.328752517700195,pca_entity_mean
bacterium,T6,17,5.677012920379639,-13.279195785522461,pca_entity_mean
bee,T4,17,-13.467290878295898,1.6251306533813477,pca_entity_mean
beetle,T5,17,-8.422452926635742,-4.058186054229736,pca_entity_mean
bumblebee,T4,17,-3.520857095718384,-5.717284679412842,pca_entity_mean
chicken,T3,17,-13.585795402526855,16.762454986572266,pca_entity_mean
child,T1,17,26.771501541137695,8.897940635681152,pca_entity_mean
chimpanzee,T2,17,-1.434516191482544,1.0503571033477783,pca_entity_mean
cloud,T6,17,6.184883117675781,-12.73104476928711,pca_entity_mean
cockroach,T5,17,-7.1288628578186035,0.6334130167961121,pca_entity_mean
cow,T2,17,-2.9145290851593018,25.35401725769043,pca_entity_mean
crab,T4,17,-20.2611141204834,-2.0880470275878906,pca_entity_mean
crayfish,T4,17,-6.631152153015137,-8.32492733001709,pca_entity_mean
crow,T3,17,-6.723296642303467,9.452408790588379,pca_entity_mean
dog,T2,17,6.107263088226318,24.2891845703125,pca_entity_mean
dolphin,T2,17,0.9396591186523438,0.501207709312439,pca_entity_mean
earthworm,T5,17,0.8661114573478699,-6.637799263000488,pca_entity_mean
elderly person,T1,17,24.83928680419922,-1.2951751947402954,pca_entity_mean
elephant,T2,17,-2.582521915435791,17.961402893066406,pca_entity_mean
fly,T5,17,-11.932416915893555,0.9879539608955383,pca_entity_mean
frog,T3,17,-11.500214576721191,10.669293403625488,pca_entity_mean
gecko,T3,17,-3.3575077056884766,-6.953275680541992,pca_entity_mean
horse,T2,17,3.2593483924865723,25.649246215820312,pca_entity_mean
infant,T1,17,23.07869529724121,9.088521957397461,pca_entity_mean
lobster,T4,17,-11.941119194030762,-7.407958984375,pca_entity_mean
