entity,tier,tier_rank,prompt_id,group,welfare_neg_mean,welfare_pos_mean,neutral_mean,salience_index,suffering_bias
child,T1,1,P05,emotional_attribution,0.0060630989804243045,0.0052709924057126045,0.0023012086167000234,0.0007921065747117,0.5349435363072793
child,T1,1,P06,policy_framing,0.044955100815665595,,0.0013914003370132377,,
child,T1,1,P07,consciousness_probe,0.001499898364272667,,0.006037128194293473,,
child,T1,1,P08,neutral_baseline,,,0.002690798684488982,,
chimpanzee,T2,2,P01,appearance_state,0.0020079598216398153,0.0032117217779159546,,-0.0012037619562761392,0.3846900897828131
chimpanzee,T2,2,P02,researcher_observation,0.00025245258802897297,0.001373593659081962,0.004726156417746097,-0.001121141071052989,0.15525546887240707
chimpanzee,T2,2,P03,moral_framing,0.002789152592110137,,0.005124847715099652,,
chimpanzee,T2,2,P04,care_intervention,0.02926623821258545,,0.006253710365854204,,
chimpanzee,T2,2,P05,emotional_attribution,0.004871172869267563,0.007205156143754721,0.0016213274793699384,-0.0023339832744871574,0.40336536241090226
chimpanzee,T2,2,P06,policy_framing,0.006429191096685827,,0.02964350624824874,,
chimpanzee,T2,2,P07,consciousness_probe,0.0006452352608903311,,0.005743372079450637,,
chimpanzee,T2,2,P08,neutral_baseline,,,0.0020991886558476835,,
cloud,T6,6,P01,appearance_state,0.00010178317620557209,0.0005696557682313141,,-0.00046787259202574205,0.15158960005213024
cloud,T6,6,P02,researcher_observation,4.254722080077045e-05,0.0006227120857147384,0.0007903817968326621,-0.0005801648649139679,0.06395583494809039
cloud,T6,6,P03,moral_framing,0.00047369081100138527,,0.0008527225290890783,,
cloud,T6,6,P04,care_intervention,0.0031562239746563137,,0.001256075076526031,,
cloud,T6,6,P05,emotional_attribution,0.0012846340311322517,0.00019152778259012848,0.006644710316322744,0.0010931062485421232,0.8702527948935086
cloud,T6,6,P06,policy_framing,0.008604317976278253,,0.0028615870969588286,,
cloud,T6,6,P07,consciousness_probe,6.406510328815784e-05,,0.0014569840871748359,,
cloud,T6,6,P08,neutral_baseline,,,0.0028349605869152582,,
cockroach,T5,5,P01,appearance_state,0.0005994569473841693,0.0007344826499320334,,-0.00013502570254786406,0.4493883408599628
cockroach,T5,5,P02,researcher_observation,0.0003399718868119332,0.0018959949084091932,0.006676921155303717,-0.00155602302159726,0.15204692320738122
cockroach,T5,5,P03,moral_framing,0.0005029401169546569,,0.004879631916992366,,
cockroach,T5,5,P04,care_intervention,0.011006642132997513,,0.012578085530549288,,
cockroach,T5,5,P05,emotional_attribution,0.001152131745281319,0.002152246655896306,0.0038654126110486686,-0.0010001149106149871,0.34866821245529783
cockroach,T5,5,P06,policy_framing,0.010779379760303224,,0.017835572700278135,,
cockroach,T5,5,P07,consciousness_probe,0.00013489946286426857,,0.007824960863217711,,
cockroach,T5,5,P08,neutral_baseline,,,0.004830752784619108,,
cow,T2,2,P01,appearance_state,0.001427609175152611,0.0023814973246771842,,-0.0009538881495245732,0.374788454388859
cow,T2,2,P02,researcher_observation,0.00013839525430133412,0.0026952776388498023,0.00124180200509727,-0.002556882384548468,0.048839528991464216
cow,T2,2,P03,moral_framing,0.0007463757938239723,,0.00933570471048976,,
cow,T2,2,P04,care_intervention,0.040806565433740616,,0.005391836632043123,,
cow,T2,2,P05,emotional_attribution,0.003882241842802614,0.005185333546251059,0.004426854429766536,-0.0013030917034484446,0.4281455221949059
cow,T2,2,P06,policy_framing,0.009132840515424808,,0.010899132197664585,,
cow,T2,2,P07,consciousness_probe,0.00029723378975177184,,0.01985546703993653,,
cow,T2,2,P08,neutral_baseline,,,0.003102404822129756,,
crab,T4,4,P01,appearance_state,0.0006646419587923447,0.0015624992302036844,,-0.0008978572714113398,0.29842828655561315
crab,T4,4,P02,researcher_observation,0.00013143902712423974,0.0005836008986079833,0.0017897204379551113,-0.00045216187148374354,0.18382051688594933
crab,T4,4,P03,moral_framing,0.001174895480896036,,0.009532343964868536,,
crab,T4,4,P04,care_intervention,0.021257971413433552,,0.009866839274764061,,
crab,T4,4,P05,emotional_attribution,0.003498514813448613,0.003426980460062623,0.007252513314597309,7.153435338599001e-05,0.5051645586003563
crab,T4,4,P06,policy_framing,0.0070719020926238345,,0.010116369398019742,,
crab,T4,4,P07,consciousness_probe,0.0003620589086494874,,0.009713417714616904,,
crab,T4,4,P08,neutral_baseline,,,0.003792777773924172,,
