config,layer,direction,n,mean_delta,median_delta,std_delta,wilcoxon_stat,wilcoxon_p,t_stat,t_p,significant,effect_sign
H→T3 (human→vertebrate),4,forward,20,0.0003575945827378746,0.00014587337682314683,0.0006778569429174827,48.0,0.033278757045101255,2.35921695201962,0.029170791473318834,True,+
H→T3 (human→vertebrate),4,reverse,20,-0.0005939910659435554,-0.0003945130556530785,0.0008805877573956443,34.0,0.008012477001750283,-3.0166315402919994,0.007095409270139477,True,-
H→T3 (human→vertebrate),5,forward,20,0.0005640594811666233,0.0003424677461225656,0.000496962888081851,2.0,0.00011976557956128949,5.075933730625362,6.71185754157709e-05,True,+
H→T3 (human→vertebrate),5,reverse,20,-0.00034994657207789717,-0.00020891998156002956,0.0009356819555599737,71.0,0.20417253180466222,-1.6725861154197548,0.11079530302946267,False,-
H→T3 (human→vertebrate),7,forward,20,1.8737844038696493e-05,5.625225730909733e-05,0.00010028928892913741,57.0,0.0730380507282532,0.8355646643764657,0.41378434955695687,False,+
H→T3 (human→vertebrate),7,reverse,20,-0.00042699757614172995,-0.0004668271831178572,0.00026670642660165604,0.0,8.807368035275503e-05,-7.159899509332799,8.358285166094765e-07,True,-
H→T3 (human→vertebrate),11,forward,20,0.0,0.0,0.0,0.0,,,,False,-
H→T3 (human→vertebrate),11,reverse,20,0.0,0.0,0.0,0.0,,,,False,-
H→H  (within-tier ctrl),0,forward,20,-0.0007062152263060284,-0.0005954495303512886,0.0007946589485081689,18.0,0.001157811350275518,-3.9743974587594897,0.0008123383275265557,True,-
H→H  (within-tier ctrl),0,reverse,20,-0.0060288428684458495,-0.0022569059019588167,0.008051130806824259,4.0,0.0001620000182134422,-3.348822122746565,0.003372802903711622,True,-
H→H  (within-tier ctrl),4,forward,20,0.0002398516679477325,0.0003238275930925738,0.00039982575879402157,42.0,0.018633749462933773,2.682791802436801,0.014725429923802552,True,+
H→H  (within-tier ctrl),4,reverse,20,-0.002360767962272803,-0.0001762381252774503,0.004406787112273469,59.0,0.085814586834869,-2.3957761100114885,0.027041515450010826,False,-
H→H  (within-tier ctrl),5,forward,20,0.0003863512186399021,0.0004245910058671143,0.0004340232020741698,24.0,0.0024863277199731644,3.980928134441405,0.000800309755559714,True,+
H→H  (within-tier ctrl),5,reverse,20,-0.0015349145094660343,0.00015551920660072938,0.0036683707136696236,104.0,0.970209380036796,-1.8712248301554297,0.07679486597898916,False,-
H→H  (within-tier ctrl),7,forward,20,0.00012826149632019223,0.00013740629947278649,0.00018756689059430245,34.0,0.008012477001750283,3.058124211144767,0.006471055684600743,True,+
H→H  (within-tier ctrl),7,reverse,20,-0.0009757132092090614,-0.00048301296919817105,0.0010927566290079443,0.0,8.807368035275503e-05,-3.9931326050460845,0.0007783063690452162,True,-
H→H  (within-tier ctrl),11,forward,20,0.0,0.0,0.0,0.0,,,,False,-
H→H  (within-tier ctrl),11,reverse,20,0.0,0.0,0.0,0.0,,,,False,-
T6→T6 (null control),0,forward,15,0.0001941745804619662,0.00015473613393623964,0.00031890549895020285,25.0,0.04669349361650898,2.358174816243722,0.033438127805081284,True,+
T6→T6 (null control),0,reverse,15,4.2617752226684996e-05,9.35593428721404e-05,9.626040817496531e-05,32.0,0.11155200158294457,1.714701274969994,0.10844046305246728,False,+
T6→T6 (null control),4,forward,15,-8.063013531227625e-05,-7.574944947918993e-05,0.0001906372543855309,34.0,0.1395162815006782,-1.6380805119830661,0.12367605347467904,False,-
T6→T6 (null control),4,reverse,15,-0.0002968017637461647,-0.0002277209600833885,0.00024198503324524874,1.0,0.0007993970664588131,-4.750328037638891,0.0003102585474078296,True,-
T6→T6 (null control),5,forward,15,-2.952195624554103e-07,1.4035686035640538e-06,8.58998674051427e-05,56.0,0.8201731584801073,-0.013310619485263513,0.9895678004431279,False,-
T6→T6 (null control),5,reverse,15,-9.769840070627349e-05,-0.00010396017387392931,0.00014708033618069966,23.0,0.035489291943685504,-2.572636755613759,0.02212366594000828,True,-
T6→T6 (null control),7,forward,15,-2.102704604567407e-05,-2.4882569960027467e-05,2.681949504420672e-05,16.0,0.0124002393995895,-3.03650009146699,0.008884615873409586,True,-
T6→T6 (null control),7,reverse,15,-2.4078361229840083e-05,-2.9784494245177484e-05,4.522704921607844e-05,29.0,0.07811195469834291,-2.0619318231794863,0.05828667978741936,False,-
T6→T6 (null control),11,forward,15,0.0,0.0,0.0,0.0,,,,False,-
T6→T6 (null control),11,reverse,15,0.0,0.0,0.0,0.0,,,,False,-
