entity,tier,layer,pc1,pc2,method
crayfish,T4,1,6.167215347290039,-1.1112412214279175,pca_entity_mean
crow,T3,1,-1.5224753618240356,-3.108290195465088,pca_entity_mean
dog,T2,1,-7.662776947021484,3.0290160179138184,pca_entity_mean
dolphin,T2,1,4.957010746002197,-0.8271958827972412,pca_entity_mean
earthworm,T5,1,2.0097906589508057,-2.8550236225128174,pca_entity_mean
elderly person,T1,1,2.782008171081543,11.40282917022705,pca_entity_mean
elephant,T2,1,-6.866360664367676,-0.9848882555961609,pca_entity_mean
fly,T5,1,0.009304027073085308,-4.081049919128418,pca_entity_mean
frog,T3,1,-9.349428176879883,-5.3060479164123535,pca_entity_mean
gecko,T3,1,7.675885200500488,-2.41074800491333,pca_entity_mean
horse,T2,1,-8.331779479980469,2.471022129058838,pca_entity_mean
infant,T1,1,-8.072778701782227,15.907206535339355,pca_entity_mean
lobster,T4,1,6.754554271697998,-3.5727922916412354,pca_entity_mean
mantis shrimp,T4,1,2.9895782470703125,-4.951825141906738,pca_entity_mean
mite,T5,1,10.769648551940918,0.001898609334602952,pca_entity_mean
moss,T6,1,1.1202164888381958,-10.204190254211426,pca_entity_mean
moth,T5,1,0.9037906527519226,-7.321821212768555,pca_entity_mean
mushroom,T6,1,-1.3899623155593872,-10.809182167053223,pca_entity_mean
mussel,T4,1,8.674695014953613,-1.454600214958191,pca_entity_mean
nematode,T5,1,4.5030083656311035,-4.078976631164551,pca_entity_mean
oak tree,T6,1,4.972055435180664,-4.155259132385254,pca_entity_mean
octopus,T4,1,5.263130187988281,-2.640235662460327,pca_entity_mean
patient,T1,1,1.1893941164016724,16.276826858520508,pca_entity_mean
pig,T2,1,-11.266162872314453,1.2269017696380615,pca_entity_mean
pigeon,T3,1,-0.866457462310791,0.6115542650222778,pca_entity_mean
prisoner,T1,1,-1.6747316122055054,13.54864501953125,pca_entity_mean
rabbit,T2,1,-8.667729377746582,-0.23879054188728333,pca_entity_mean
rat,T2,1,-5.6566290855407715,1.1770538091659546,pca_entity_mean
refugee,T1,1,-3.0278937816619873,11.197009086608887,pca_entity_mean
river,T6,1,-2.9164886474609375,-1.9756584167480469,pca_entity_mean
rock,T6,1,4.206049919128418,-3.5362229347229004,pca_entity_mean
salmon,T3,1,-11.082324981689453,-7.743704319000244,pca_entity_mean
seaweed,T6,1,4.754284381866455,-5.013736724853516,pca_entity_mean
shrimp,T4,1,-12.010078430175781,-7.981680870056152,pca_entity_mean
snake,T3,1,-7.341788291931152,-4.599233627319336,pca_entity_mean
soldier,T1,1,-1.768465280532837,13.36206340789795,pca_entity_mean
squid,T4,1,9.3493070602417,-1.7804689407348633,pca_entity_mean
statue,T6,1,3.5203769207000732,2.0945863723754883,pca_entity_mean
table,T6,1,9.904580116271973,2.2635610103607178,pca_entity_mean
teenager,T1,1,-0.8056641221046448,15.48054027557373,pca_entity_mean
trout,T3,1,-15.502311706542969,-8.220913887023926,pca_entity_mean
tuna,T3,1,9.882475852966309,-0.9124950170516968,pca_entity_mean
whale,T2,1,-10.061784744262695,-0.7283619046211243,pca_entity_mean
woman,T1,1,1.7911545038223267,12.78851318359375,pca_entity_mean
woodlouse,T5,1,9.331425666809082,-1.9243853092193604,pca_entity_mean
worker,T1,1,1.3972630500793457,11.599995613098145,pca_entity_mean
zebrafish,T3,1,-14.290634155273438,-2.0813591480255127,pca_entity_mean
ant,T5,2,3.340956926345825,6.797939300537109,pca_entity_mean
aphid,T5,2,4.859020233154297,7.292377471923828,pca_entity_mean
bacterium,T6,2,1.284153699874878,-1.5898208618164062,pca_entity_mean
bee,T4,2,3.8198282718658447,-1.3636910915374756,pca_entity_mean
beetle,T5,2,6.009343147277832,2.1147494316101074,pca_entity_mean
bumblebee,T4,2,4.091640949249268,8.801448822021484,pca_entity_mean
chicken,T3,2,1.154733657836914,-10.204120635986328,pca_entity_mean
child,T1,2,-17.353914260864258,1.9288408756256104,pca_entity_mean
chimpanzee,T2,2,4.035433769226074,6.7138872146606445,pca_entity_mean
cloud,T6,2,4.697771072387695,8.637129783630371,pca_entity_mean
cockroach,T5,2,4.184344291687012,7.0449042320251465,pca_entity_mean
cow,T2,2,-3.285496950149536,-5.773040294647217,pca_entity_mean
crab,T4,2,6.408481597900391,-9.046207427978516,pca_entity_mean
crayfish,T4,2,4.5136260986328125,6.341207027435303,pca_entity_mean
crow,T3,2,2.6587185859680176,-1.6644389629364014,pca_entity_mean
dog,T2,2,-6.584225654602051,-6.371683120727539,pca_entity_mean
dolphin,T2,2,1.3412355184555054,5.656409740447998,pca_entity_mean
earthworm,T5,2,2.8990511894226074,2.5946671962738037,pca_entity_mean
elderly person,T1,2,-12.098377227783203,5.623103141784668,pca_entity_mean
elephant,T2,2,-2.3657686710357666,-4.475493431091309,pca_entity_mean
fly,T5,2,4.3356852531433105,-1.8568518161773682,pca_entity_mean
frog,T3,2,1.796816110610962,-10.063043594360352,pca_entity_mean
gecko,T3,2,5.989010334014893,6.024357318878174,pca_entity_mean
horse,T2,2,-4.714552879333496,-7.212069034576416,pca_entity_mean
infant,T1,2,-16.41902732849121,-3.8689842224121094,pca_entity_mean
lobster,T4,2,6.221414566040039,3.375467538833618,pca_entity_mean
mantis shrimp,T4,2,5.325684547424316,2.1491522789001465,pca_entity_mean
mite,T5,2,2.777829647064209,11.723591804504395,pca_entity_mean
moss,T6,2,10.341312408447266,-0.9528617858886719,pca_entity_mean
moth,T5,2,5.486412048339844,-3.437185049057007,pca_entity_mean
mushroom,T6,2,9.99896240234375,-2.827714204788208,pca_entity_mean
mussel,T4,2,5.172726154327393,6.788827419281006,pca_entity_mean
nematode,T5,2,7.109342575073242,2.7975664138793945,pca_entity_mean
oak tree,T6,2,4.939905643463135,5.132897853851318,pca_entity_mean
octopus,T4,2,5.161182403564453,5.29456901550293,pca_entity_mean
patient,T1,2,-18.70221519470215,4.459141254425049,pca_entity_mean
pig,T2,2,-2.697685956954956,-10.680305480957031,pca_entity_mean
pigeon,T3,2,-0.9161701798439026,-2.5700106620788574,pca_entity_mean
prisoner,T1,2,-15.775168418884277,1.1206486225128174,pca_entity_mean
rabbit,T2,2,-0.711942195892334,-6.629513740539551,pca_entity_mean
rat,T2,2,-1.9521944522857666,-4.253765106201172,pca_entity_mean
refugee,T1,2,-11.27963638305664,-0.01705019548535347,pca_entity_mean
river,T6,2,2.034946918487549,-2.382812976837158,pca_entity_mean
rock,T6,2,4.002861976623535,2.5434112548828125,pca_entity_mean
salmon,T3,2,6.536725997924805,-13.155489921569824,pca_entity_mean
seaweed,T6,2,5.694180965423584,3.5864996910095215,pca_entity_mean
shrimp,T4,2,5.968456745147705,-13.38464641571045,pca_entity_mean
snake,T3,2,0.571593701839447,-9.074844360351562,pca_entity_mean
soldier,T1,2,-14.443563461303711,0.7600350379943848,pca_entity_mean
squid,T4,2,5.3472490310668945,7.219720363616943,pca_entity_mean
statue,T6,2,-4.772956848144531,1.9557695388793945,pca_entity_mean
table,T6,2,-1.559098243713379,10.79255485534668,pca_entity_mean
teenager,T1,2,-15.06010627746582,2.5343875885009766,pca_entity_mean
trout,T3,2,4.466957092285156,-16.83695411682129,pca_entity_mean
tuna,T3,2,4.724644660949707,8.531203269958496,pca_entity_mean
whale,T2,2,-0.6103479266166687,-10.521775245666504,pca_entity_mean
woman,T1,2,-13.850831031799316,4.095101833343506,pca_entity_mean
woodlouse,T5,2,5.411352157592773,10.016231536865234,pca_entity_mean
worker,T1,2,-12.614298820495605,3.7366561889648438,pca_entity_mean
zebrafish,T3,2,3.0539729595184326,-13.970077514648438,pca_entity_mean
ant,T5,3,7.301058292388916,-3.7917606830596924,pca_entity_mean
aphid,T5,3,6.440104007720947,-6.933184623718262,pca_entity_mean
bacterium,T6,3,-2.254791498184204,2.3578391075134277,pca_entity_mean
bee,T4,3,5.485954284667969,3.8343634605407715,pca_entity_mean
beetle,T5,3,6.071346759796143,-1.5675183534622192,pca_entity_mean
bumblebee,T4,3,7.0008063316345215,-9.333046913146973,pca_entity_mean
chicken,T3,3,-1.375609040260315,9.954483985900879,pca_entity_mean
child,T1,3,-18.67713737487793,-5.819838523864746,pca_entity_mean
chimpanzee,T2,3,5.857306480407715,-9.090777397155762,pca_entity_mean
cloud,T6,3,3.9294097423553467,-3.9606127738952637,pca_entity_mean
cockroach,T5,3,7.205114841461182,-7.738210678100586,pca_entity_mean
cow,T2,3,-2.4012744426727295,6.695733070373535,pca_entity_mean
crab,T4,3,2.9085357189178467,10.145564079284668,pca_entity_mean
crayfish,T4,3,7.200079441070557,-6.9453654289245605,pca_entity_mean
